127.0.0.1 - - [20/Mar/2022:22:35:06 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:35 +0300] "GET /northwind/api/categories/ HTTP/1.1" 200 763
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind/ HTTP/1.1" 200 3855
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind/assets/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind/assets/materialize.min.js HTTP/1.1" 200 166221
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind/assets/materialize.min.css HTTP/1.1" 200 141522
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind/assets/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind/fonts/roboto/Roboto-Medium.woff2 HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind/fonts/roboto/Roboto-Bold.woff2 HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind/fonts/roboto/Roboto-Regular.woff2 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind/fonts/roboto/Roboto-Light.woff HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [20/Mar/2022:22:35:44 +0300] "GET /northwind/fonts/roboto/Roboto-Medium.woff HTTP/1.1" 404 804
